text,label
Dịch vụ tạm hài lòng,neutral
Dịch vụ hài lòng,positive
Sản phẩm không hài lòng!!,negative
Sản phẩm chưa ấn tượng!!,neutral
Mình mọi thứ đều ổn định và vui vẻ!,positive
Món hàng mình cảm thấy thất vọng.,negative
Tôi tôi cực kỳ phấn khích.,positive
Mình ổn!!,neutral
Chuyến đi hôm nay thật tuyệt!,positive
Bản thân tôi thật là một ngày ý nghĩa!!,positive
Cuộc gặp gỡ hôm nay thật tuyệt!!,positive
Cuộc gặp gỡ tạm ổn.,neutral
Buổi tối hôm qua đáng đồng tiền!!,positive
Món hàng tạm ổn.,neutral
Tôi cuộc sống thật đẹp!!,positive
Tôi toi vui,positive
Buổi tối hôm qua rất kém,negative
Ngày hôm nay đẹp và bền!,positive
Cuộc sống mình cảm thấy hạnh phúc.,positive
Mình tôi thấy bình thường.,neutral
Ngày hôm nay toi hanh phucrất tốt!,positive
Tụi mình mọi thứ đều ổn định và vui vẻ!!,positive
Cả nhóm mình khuyên nên thử!,positive
Cả nhóm toi khong cam thay gi nhieu,neutral
Cuộc gặp gỡ đây là một cái bàn.,neutral
Chuyến đi không đúng mô tả,negative
Sản phẩm không đúng mô tả,negative
Món hàng cũng được!!,neutral
Món hàng trung bình!,neutral
Giao dịch tôi cực kỳ phấn khích.,positive
Cuộc sống tôi không cảm thấy gì nhiều,neutral
Chuyến đi sản phẩm lỗi!,negative
Cả nhóm that la mot ngay kinh khung!!,negative
Bản thân tôi sản phẩm lỗi.,negative
Cuộc gặp gỡ vừa đủ dùng,neutral
Buổi tối hôm qua tôi không cảm thấy gì nhiều!,neutral
Trải nghiệm này cuộc sống thật khó khăn.,negative
Món hàng tôi thấy bực mình!,negative
Trải nghiệm này tuyệt vời,positive
Cả nhóm hôm nay thật tuyệt,positive
Chuyến đi toi khong cam thay gi nhieu!!,neutral
Chuyến đi đây là một cái bàn!,neutral
Dịch vụ đây là một cái bàn!!,neutral
Cuộc gặp gỡ không đúng mô tả,negative
Buổi tối hôm qua hài lòng!,positive
Trải nghiệm này chưa ấn tượng.,neutral
Giao dịch ngày hôm nay cũng như mọi ngày,neutral
Chuyến đi dịch vụ tận tình!,positive
Tôi đây là một cái bàn,neutral
Cuộc sống mình cảm thấy thất vọng!!,negative
Sản phẩm rất tệ,negative
Hàng hóa rất kém,negative
Chuyến đi mình khuyên nên thử!,positive
Tôi đây là một cái bàn,neutral
Hàng hóa giao hàng chậm!!,negative
Cả nhóm dịch vụ tận tình!!,positive
Cả nhóm thất vọng.,negative
Buổi sáng nay tôi thấy bực mình.,negative
Tụi mình đúng như mong đợi!!,neutral
Món hàng toi vui!!,positive
Chuyến đi ngon lành.,positive
Dịch vụ toi hanh phucrất tốt.,positive
Chuyến đi toi hanh phucrất tốt,positive
Cuộc sống dịch vụ tận tình!!,positive
Buổi tối hôm qua tôi cực kỳ phấn khích!!,positive
Công việc không vui cũng không buồn!!,neutral
Cả nhóm rất tệ!!,negative
Cuộc sống khá ổn,neutral
Cuộc sống đây là một cái bàn!,neutral
Đơn hàng tiền mất tật mang,negative
Dịch vụ tôi rất buồn!,negative
Bản thân tôi tôi rất buồn!,negative
Dịch vụ sẽ ủng hộ lần sau.,positive
Sản phẩm tôi rất vui!!,positive
Cuộc gặp gỡ mọi thứ đều đi sai hướng!!,negative
Hàng hóa hoàn toàn thất vọng!!,negative
Tụi mình toi thich.,positive
Bản thân tôi rất đáng mua!!,positive
Đơn hàng tạm ổn!!,neutral
Buổi tối hôm qua tôi rất vui,positive
Tôi that la mot ngay kinh khung.,negative
Bản thân tôi sẽ ủng hộ lần sau!!,positive
Món hàng ngon lành!!,positive
Món hàng được thôi!,neutral
Tôi không hài lòng,negative
Ngày hôm nay cuộc sống thật khó khăn,negative
Đơn hàng tôi không muốn nói chuyện nữa.,negative
Ngày hôm nay tôi ghét công việc này,negative
Chuyến đi không tệ,neutral
Cả nhóm máy tính của tôi màu đen.,neutral
Cuộc gặp gỡ tôi không muốn nói chuyện nữa!!,negative
Trải nghiệm này dịch vụ tệ!,negative
Trải nghiệm này toi khong cam thay gi nhieu.,neutral
Tôi xuất sắc,positive
Tụi mình tôi rất buồn,negative
Buổi sáng nay giao hàng chậm!!,negative
Ngày hôm nay mình cảm thấy thất vọng,negative
Mình chưa ấn tượng!!,neutral
Thời tiết đáng đồng tiền!,positive
Dịch vụ ổn!!,neutral
Giao dịch tôi cực kỳ phấn khích,positive
Ngày hôm nay đáng đồng tiền.,positive
Sản phẩm đáng đồng tiền.,positive
Mình rất thích!!,positive
Giao dịch rất thích,positive
Tôi rất bực mình!,negative
Tụi mình đúng như mong đợi!!,neutral
Dịch vụ tôi đang nghe nhạc.,neutral
Mình tôi có một chiếc xe máy!,neutral
Thời tiết bình thường,neutral
Sản phẩm hôm nay thật tuyệt!!,positive
Món hàng đáng đồng tiền.,positive
Tụi mình mình đang rất mệt mỏi,negative
Tôi tôi ghét công việc này,negative
Chuyến đi xuất sắc!!,positive
Ngày hôm nay tiền mất tật mang,negative
Đơn hàng hài lòng!!,positive
Mình tôi giận dữ!!,negative
Cả nhóm mình cảm thấy thất vọng,negative
Hàng hóa tôi có một chiếc xe máy,neutral
Buổi sáng nay tôi cực kỳ phấn khích,positive
Mình rất kém!,negative
Giao dịch hôm nay thật tuyệt!,positive
Dịch vụ hài lòng!!,positive
Cả nhóm đóng gói cẩu thả.,negative
Trải nghiệm này tôi thấy bực mình,negative
Dịch vụ không đáng mua!,negative
Thời tiết tôi thấy rất tốt,positive
Đơn hàng toi met moi!,negative
Cuộc sống vượt mong đợi!,positive
Cả nhóm tôi cực kỳ phấn khích,positive
Giao dịch mình cảm thấy hạnh phúc,positive
Buổi tối hôm qua mọi thứ đều ổn định và vui vẻ,positive
Chuyến đi bình thường!!,neutral
Món hàng toi vui!,positive
Mình toi vui!!,positive
Buổi sáng nay mọi thứ đều đi sai hướng.,negative
Buổi sáng nay cuộc sống thật mệt mỏi!!,negative
Cả nhóm được thôi!!,neutral
Chuyến đi tuyệt vời!!,positive
Buổi sáng nay thời tiết hôm nay bình thường!!,neutral
Trải nghiệm này rất đáng mua!!,positive
Sản phẩm dịch vụ tận tình.,positive
Dịch vụ toi chi dang quan sat!,neutral
Tôi mình khuyên nên thử.,positive
Tôi đây là một cái bàn!,neutral
Cuộc gặp gỡ xuất sắc.,positive
Công việc mọi thứ đều ổn định và vui vẻ,positive
Cuộc gặp gỡ bình thường!!,neutral
Bản thân tôi mọi thứ đều ổn định và vui vẻ.,positive
Chuyến đi tôi chỉ đang quan sát.,neutral
Thời tiết đúng như mong đợi!,neutral
Bản thân tôi toi vui!!,positive
Dịch vụ tôi thấy bực mình!!,negative
Chuyến đi xuất sắc,positive
Giao dịch mình đang rất mệt mỏi.,negative
Sản phẩm đáng đồng tiền.,positive
Cuộc gặp gỡ toi khong cam thay gi nhieu!!,neutral
Cuộc gặp gỡ đúng như mong đợi!,neutral
Chuyến đi mình đang rất mệt mỏi,negative
Món hàng rất bực mình!!,negative
Buổi sáng nay chưa ấn tượng!,neutral
Hàng hóa tạm được!,neutral
Đơn hàng tôi có một chiếc xe máy,neutral
Cuộc gặp gỡ tạm ổn,neutral
Công việc chưa ấn tượng!!,neutral
Mình tôi không cảm thấy gì nhiều,neutral
Dịch vụ tôi yêu công việc này!!,positive
Hàng hóa tiền mất tật mang.,negative
Cuộc gặp gỡ mình cảm thấy hạnh phúc!!,positive
Mình tôi thấy bình thường,neutral
Hàng hóa tôi thấy rất tốt.,positive
Đơn hàng mọi thứ đều đi sai hướng!,negative
Cả nhóm that la mot ngay kinh khung!!,negative
Buổi tối hôm qua tạm hài lòng.,neutral
Công việc sản phẩm lỗi!!,negative
Hàng hóa đáng giá,positive
Tôi toi chi dang quan sat.,neutral
Món hàng rất đáng mua!!,positive
Tụi mình ổn!!,neutral
Cuộc sống tiền mất tật mang,negative
Đơn hàng mọi thứ đều ổn định và vui vẻ.,positive
Ngày hôm nay toi that vong,negative
Giao dịch mình thấy vô vọng!!,negative
Công việc tôi có một chiếc xe máy,neutral
Ngày hôm nay tôi thấy bực mình.,negative
Sản phẩm thời tiết hôm nay bình thường!!,neutral
Tôi không có gì đặc biệt!,neutral
Món hàng mình thấy vô vọng!,negative
Giao dịch hỏng!!,negative
Giao dịch toi met moi,negative
Công việc cũng được.,neutral
Cuộc sống tuyệt vời,positive
Sản phẩm tuyệt vời.,positive
Buổi sáng nay tôi thấy bình thường,neutral
Tụi mình toi khong cam thay gi nhieu!!,neutral
Trải nghiệm này xuất sắc,positive
Bản thân tôi không có gì đặc biệt!,neutral
Giao dịch toi ghet!!,negative
Công việc cuộc sống thật mệt mỏi!!,negative
Cả nhóm tôi thấy bực mình!!,negative
Dịch vụ mình thấy vô vọng,negative
Ngày hôm nay tôi rất buồn!!,negative
Hàng hóa toi phan no,negative
Tụi mình tôi yêu công việc này!,positive
Ngày hôm nay sản phẩm lỗi!,negative
Ngày hôm nay cuộc sống thật đẹp!!,positive
Cả nhóm dịch vụ tệ!!,negative
Buổi sáng nay ngon lành!,positive
Cả nhóm tôi có một chiếc xe máy!,neutral
Tụi mình toi chi dang quan sat.,neutral
Thời tiết tôi cực kỳ phấn khích!,positive
Mình tôi ghét công việc này!!,negative
Thời tiết ổn,neutral
Sản phẩm toi vui.,positive
Bản thân tôi mình đang rất mệt mỏi.,negative
Sản phẩm máy tính của tôi màu đen.,neutral
Tụi mình đáng giá!!,positive
Sản phẩm mọi thứ đều ổn định và vui vẻ!,positive
Chuyến đi đáng giá,positive
Buổi sáng nay toi hanh phucrất tốt,positive
Trải nghiệm này ngày hôm nay cũng như mọi ngày!,neutral
Chuyến đi đóng gói cẩu thả.,negative
Tôi giao hàng chậm!!,negative
Công việc ổn.,neutral
Ngày hôm nay tiền mất tật mang,negative
Thời tiết ổn!!,neutral
Cả nhóm ngon lành,positive
Cuộc sống ngon lành!,positive
Cuộc gặp gỡ cũng được,neutral
Chuyến đi toi buon!!,negative
Buổi sáng nay toi met moi,negative
Cuộc sống mình khuyên nên thử.,positive
Đơn hàng mọi thứ đều đi sai hướng,negative
Sản phẩm tạm hài lòng!,neutral
Hàng hóa rất thích!!,positive
Tôi vừa đủ dùng.,neutral
Buổi tối hôm qua tôi rất buồn.,negative
Món hàng cuộc sống thật đẹp!!,positive
Chuyến đi tạm ổn.,neutral
Tôi bình thường,neutral
Cả nhóm tôi cực kỳ phấn khích,positive
Bản thân tôi không có gì đặc biệt.,neutral
Chuyến đi hôm nay thật tuyệt!,positive
Giao dịch ngày hôm nay cũng như mọi ngày!,neutral
Mình tôi yêu công việc này,positive
Cả nhóm tôi thấy bình thường!!,neutral
Công việc tôi ghét công việc này!!,negative
Đơn hàng không tệ,neutral
Giao dịch rất kém.,negative
Ngày hôm nay máy tính của tôi màu đen!,neutral
Sản phẩm dịch vụ tận tình!,positive
Đơn hàng ngon lành!,positive
Hàng hóa mình đang rất mệt mỏi!!,negative
Cả nhóm cũng được,neutral
Công việc không đúng mô tả!,negative
Tụi mình đóng gói cẩu thả,negative
Giao dịch xuất sắc!,positive
Giao dịch tôi thấy rất tốt.,positive
Cuộc gặp gỡ toi met moi,negative
Sản phẩm mình đang rất hứng khởi,positive
Cuộc sống đẹp và bền.,positive
Hàng hóa được thôi!!,neutral
Trải nghiệm này đây là một cái bàn!!,neutral
Tụi mình thời tiết hôm nay bình thường,neutral
Thời tiết rất đáng mua,positive
Hàng hóa đây là một cái bàn!!,neutral
Buổi tối hôm qua máy tính của tôi màu đen,neutral
Sản phẩm tôi ghét công việc này!!,negative
Dịch vụ hài lòng.,positive
Trải nghiệm này được thôi,neutral
Sản phẩm cuộc sống thật mệt mỏi.,negative
Thời tiết hôm nay thật tuyệt!!,positive
Buổi tối hôm qua tôi cực kỳ phấn khích.,positive
Chuyến đi sản phẩm lỗi!,negative
Tôi tôi cực kỳ phấn khích!!,positive
Dịch vụ ổn,neutral
Bản thân tôi tôi yêu công việc này!,positive
Buổi sáng nay cuộc sống thật khó khăn!!,negative
Cả nhóm giao hàng chậm,negative
Công việc toi met moi!!,negative
Buổi sáng nay tôi yêu công việc này!,positive
Cả nhóm tôi đang nghe nhạc!,neutral
Dịch vụ không hài lòng!,negative
Sản phẩm mình thấy vô vọng.,negative
Trải nghiệm này đúng như mong đợi!,neutral
Tôi toi khong cam thay gi nhieu!,neutral
Cả nhóm rất đáng mua.,positive
Thời tiết tôi không cảm thấy gì nhiều,neutral
Trải nghiệm này vượt mong đợi!!,positive
Công việc sản phẩm lỗi,negative
Cả nhóm cũng được,neutral
Buổi tối hôm qua không vui cũng không buồn,neutral
Bản thân tôi giao hàng chậm!,negative
Món hàng hoàn toàn thất vọng.,negative
Tụi mình tôi yêu công việc này,positive
Thời tiết hài lòng!,positive
Buổi sáng nay đáng đồng tiền!!,positive
Mình tôi thấy bình thường.,neutral
Buổi tối hôm qua toi hanh phucrất tốt.,positive
Công việc đẹp và bền.,positive
Cuộc gặp gỡ không vui cũng không buồn!,neutral
Món hàng hài lòng.,positive
Cuộc sống không đúng mô tả!!,negative
Cuộc gặp gỡ rất thích!!,positive
Cuộc sống toi hanh phucrất tốt!,positive
Giao dịch tạm được,neutral
Hàng hóa bình thường,neutral
Cả nhóm dịch vụ tệ!,negative
Buổi sáng nay không có gì đặc biệt!,neutral
Tụi mình đáng giá!!,positive
Cả nhóm dịch vụ tận tình,positive
Cả nhóm đóng gói cẩu thả.,negative
Thời tiết máy tính của tôi màu đen.,neutral
Hàng hóa không vui cũng không buồn!,neutral
Bản thân tôi tôi yêu công việc này!,positive
Tụi mình không đúng mô tả,negative
Cuộc sống tôi thấy rất tốt,positive
Tôi đẹp và bền!!,positive
Trải nghiệm này cuộc sống thật mệt mỏi,negative
Tụi mình đáng đồng tiền!,positive
Bản thân tôi tôi cực kỳ phấn khích,positive
Món hàng mình cảm thấy hạnh phúc.,positive
Buổi tối hôm qua đóng gói cẩu thả,negative
Bản thân tôi tôi không muốn nói chuyện nữa.,negative
Cuộc gặp gỡ mình cảm thấy hạnh phúc!,positive
Trải nghiệm này toi binh thuong.,neutral
Buổi tối hôm qua không vui cũng không buồn!,neutral
Cuộc sống ngày hôm nay cũng như mọi ngày!!,neutral
Đơn hàng vượt mong đợi,positive
Công việc dịch vụ tận tình!,positive
Món hàng tôi không muốn nói chuyện nữa!,negative
Công việc rất kém!,negative
Cuộc sống mình khuyên nên thử!,positive
Cuộc sống xuất sắc.,positive
Công việc mình thấy vô vọng!,negative
Hàng hóa tạm được!,neutral
Tôi máy tính của tôi màu đen!!,neutral
Hàng hóa tạm hài lòng!,neutral
Tôi that la mot ngay kinh khung!!,negative
Dịch vụ tôi cực kỳ phấn khích!,positive
Món hàng hài lòng!,positive
Thời tiết đẹp và bền!!,positive
Bản thân tôi đóng gói cẩu thả,negative
Hàng hóa vừa đủ dùng!,neutral
Cuộc gặp gỡ xuất sắc!,positive
Giao dịch hỏng,negative
Món hàng tạm được!!,neutral
Món hàng toi binh thuong!,neutral
Cả nhóm mình cảm thấy thất vọng.,negative
Công việc mình đang rất mệt mỏi!,negative
Trải nghiệm này tôi có một chiếc xe máy!,neutral
Thời tiết dịch vụ tệ,negative
Giao dịch rất bực mình!,negative
Công việc không tệ.,neutral
Giao dịch mọi thứ đều ổn định và vui vẻ.,positive
Buổi tối hôm qua hôm nay thật tuyệt!!,positive
Hàng hóa toi vui.,positive
Trải nghiệm này tiền mất tật mang!!,negative
Tụi mình tôi rất buồn,negative
Mình mọi thứ đều đi sai hướng,negative
Trải nghiệm này thất vọng!!,negative
Mình trung bình!!,neutral
Hàng hóa không vui cũng không buồn,neutral
Chuyến đi mình đang rất mệt mỏi!!,negative
Cả nhóm rất kém!!,negative
Mình chấp nhận được,neutral
Chuyến đi tôi cực kỳ phấn khích!,positive
Sản phẩm hôm nay thật tuyệt.,positive
Tôi toi thich!,positive
Mình mình đang rất mệt mỏi!!,negative
Sản phẩm vừa đủ dùng!,neutral
Chuyến đi mọi thứ đều ổn định và vui vẻ,positive
Ngày hôm nay không tệ,neutral
Buổi sáng nay đóng gói cẩu thả!,negative
Tụi mình hài lòng!!,positive
Cuộc gặp gỡ chấp nhận được!,neutral
Chuyến đi toi binh thuong,neutral
Ngày hôm nay không hài lòng!,negative
Trải nghiệm này tiền mất tật mang!!,negative
Chuyến đi tôi rất buồn!,negative
Tôi toi hanh phucrất tốt.,positive
Thời tiết rất thích!,positive
Mình dịch vụ tệ.,negative
Đơn hàng toi phan no!!,negative
Bản thân tôi rất kém!,negative
Giao dịch đẹp và bền!!,positive
Trải nghiệm này thật là một ngày ý nghĩa,positive
Tôi giao hàng chậm.,negative
Mình đúng như mong đợi!,neutral
Cuộc gặp gỡ tôi thấy bực mình.,negative
Thời tiết phải trả lại.,negative
Giao dịch đúng như mong đợi!!,neutral
Cuộc gặp gỡ dịch vụ tệ,negative
Chuyến đi thật là một ngày ý nghĩa.,positive
Tôi khá ổn!!,neutral
Đơn hàng tôi không cảm thấy gì nhiều!,neutral
Chuyến đi cũng được!,neutral
Mình xuất sắc!,positive
Thời tiết cực kỳ ổn,positive
Tụi mình không đúng mô tả.,negative
Tụi mình sẽ ủng hộ lần sau.,positive
Món hàng không tệ!,neutral
Buổi sáng nay vừa đủ dùng!,neutral
Hàng hóa đóng gói cẩu thả!,negative
Buổi tối hôm qua bình thường!,neutral
Buổi sáng nay đáng đồng tiền!,positive
Buổi tối hôm qua dịch vụ tệ,negative
Công việc khá ổn,neutral
Buổi tối hôm qua không đúng mô tả.,negative
Ngày hôm nay tôi thấy bình thường!,neutral
Chuyến đi trung bình.,neutral
Món hàng toi khong cam thay gi nhieu!,neutral
Giao dịch tôi không cảm thấy gì nhiều.,neutral
Món hàng toi that vong,negative
Món hàng tạm hài lòng!!,neutral
Món hàng dịch vụ tận tình!!,positive
Chuyến đi tiền mất tật mang.,negative
Cuộc gặp gỡ tôi yêu công việc này.,positive
Sản phẩm tôi cực kỳ phấn khích!!,positive
Mình toi met moi,negative
Ngày hôm nay hỏng!,negative
Bản thân tôi hôm nay thật tuyệt!!,positive
Cuộc gặp gỡ tôi đang ở nhà.,neutral
Sản phẩm mình đang rất hứng khởi,positive
Ngày hôm nay hài lòng!!,positive
Tụi mình không tệ.,neutral
Món hàng ngày hôm nay cũng như mọi ngày!!,neutral
Công việc không hài lòng,negative
Công việc cuộc sống thật đẹp!,positive
Dịch vụ toi buon!!,negative
Thời tiết toi vui!!,positive
Trải nghiệm này không có gì đặc biệt!!,neutral
Giao dịch that la mot ngay kinh khung.,negative
Tôi mình đang rất hứng khởi,positive
Cuộc gặp gỡ mình đang rất mệt mỏi!,negative
Thời tiết cuộc sống thật khó khăn!,negative
Đơn hàng ngon lành,positive
Trải nghiệm này tôi thấy bực mình!,negative
Hàng hóa đóng gói cẩu thả!!,negative
Cuộc sống cuộc sống thật mệt mỏi!,negative
Hàng hóa toi buon,negative
Ngày hôm nay hoàn toàn thất vọng!,negative
Ngày hôm nay toi met moi,negative
Mình ngon lành!,positive
Chuyến đi tôi có một chiếc xe máy!!,neutral
Cuộc gặp gỡ đáng đồng tiền!!,positive
Tôi sẽ ủng hộ lần sau.,positive
Chuyến đi tôi đang nghe nhạc!,neutral
Công việc rất bực mình!!,negative
Tôi không đúng mô tả.,negative
Dịch vụ tôi đang nghe nhạc!,neutral
Thời tiết mình cảm thấy hạnh phúc!,positive
Cuộc gặp gỡ tôi chỉ đang quan sát!,neutral
Hàng hóa hài lòng.,positive
Hàng hóa thật là một ngày ý nghĩa,positive
Giao dịch dịch vụ tệ!,negative
Mình hoàn toàn thất vọng!!,negative
Đơn hàng tôi không muốn nói chuyện nữa!,negative
Giao dịch toi that vong!,negative
Chuyến đi không có gì đặc biệt.,neutral
Thời tiết mình cảm thấy thất vọng!!,negative
Đơn hàng tôi thấy rất tốt,positive
Công việc mình đang rất hứng khởi,positive
Bản thân tôi cực kỳ ổn!!,positive
Tụi mình that la mot ngay kinh khung,negative
Sản phẩm toi khong cam thay gi nhieu,neutral
Mình toi binh thuong,neutral
Công việc tiền mất tật mang!,negative
Bản thân tôi không hài lòng!,negative
Ngày hôm nay mình đang rất hứng khởi!,positive
Cuộc sống mình thấy vô vọng.,negative
Dịch vụ tôi chán nản!,negative
Giao dịch mình đang rất hứng khởi,positive
Chuyến đi toi ghet,negative
Buổi tối hôm qua tạm hài lòng!,neutral
Trải nghiệm này đóng gói cẩu thả.,negative
Buổi tối hôm qua chấp nhận được!,neutral
Món hàng phải trả lại,negative
Chuyến đi đẹp và bền,positive
Cả nhóm toi chi dang quan sat,neutral
Buổi sáng nay tôi không muốn nói chuyện nữa!,negative
Công việc đúng như mong đợi!,neutral
Tôi khá ổn.,neutral
Cuộc sống cuộc sống thật mệt mỏi,negative
Tụi mình tạm hài lòng,neutral
Dịch vụ mọi thứ đều ổn định và vui vẻ!!,positive
Tôi tôi chán nản!,negative
Cả nhóm tạm ổn!!,neutral
Công việc mình khuyên nên thử!!,positive
Sản phẩm tôi chán nản!,negative
Đơn hàng tuyệt vời.,positive
Dịch vụ ngày hôm nay cũng như mọi ngày!!,neutral
Thời tiết toi hanh phucrất tốt!!,positive
Buổi tối hôm qua tạm được.,neutral
Buổi tối hôm qua tạm ổn!,neutral
Tôi tôi đang ở nhà,neutral
