text,label
Ngày hôm nay ngon lành!,positive
Tôi hỏng,negative
Trải nghiệm này khá ổn,neutral
Buổi sáng nay tôi có một chiếc xe máy!!,neutral
Buổi tối hôm qua cuộc sống thật mệt mỏi!!,negative
Cuộc gặp gỡ trung bình.,neutral
Chuyến đi không có gì đặc biệt.,neutral
Bản thân tôi rất kém,negative
Món hàng rất kém,negative
Chuyến đi ổn!!,neutral
Bản thân tôi không vui cũng không buồn,neutral
Cuộc sống tôi thấy bình thường,neutral
Tụi mình tôi ghét công việc này!,negative
Tụi mình giao hàng chậm!,negative
Buổi sáng nay tôi chỉ đang quan sát.,neutral
Tôi tôi yêu công việc này.,positive
Cuộc sống tôi có một chiếc xe máy,neutral
Cuộc gặp gỡ mình đang rất mệt mỏi.,negative
Thời tiết mình cảm thấy hạnh phúc!!,positive
Thời tiết mình thấy vô vọng!,negative
Buổi tối hôm qua tôi đang ở nhà!!,neutral
Bản thân tôi mình cảm thấy thất vọng.,negative
Bản thân tôi tôi rất vui,positive
Mình tôi cực kỳ phấn khích!!,positive
Cuộc sống tôi có một chiếc xe máy!,neutral
Giao dịch ngày hôm nay cũng như mọi ngày!,neutral
Bản thân tôi không đáng mua,negative
Dịch vụ hoàn toàn thất vọng,negative
Cuộc gặp gỡ thời tiết hôm nay bình thường.,neutral
Chuyến đi tôi thấy rất tốt.,positive
Cuộc gặp gỡ vượt mong đợi!,positive
Thời tiết cũng được!,neutral
Dịch vụ khá ổn.,neutral
Cuộc gặp gỡ toi hanh phucrất tốt!,positive
Buổi tối hôm qua đúng như mong đợi.,neutral
Buổi sáng nay tôi giận dữ.,negative
Thời tiết khá ổn!,neutral
Cả nhóm tiền mất tật mang!,negative
Cả nhóm đẹp và bền.,positive
Món hàng không có gì đặc biệt.,neutral
Tôi ổn,neutral
Dịch vụ chưa ấn tượng!!,neutral
Công việc sản phẩm lỗi,negative
Dịch vụ đáng giá.,positive
Mình toi met moi,negative
Mình rất kém!,negative
Buổi sáng nay cũng được!!,neutral
Mình tiền mất tật mang.,negative
Trải nghiệm này toi ghet,negative
Cả nhóm tôi đang nghe nhạc.,neutral
Món hàng tôi ghét công việc này!!,negative
Trải nghiệm này mình khuyên nên thử.,positive
Buổi sáng nay đây là một cái bàn!,neutral
Đơn hàng không đúng mô tả,negative
Thời tiết phải trả lại!!,negative
Thời tiết toi vui,positive
Chuyến đi sản phẩm lỗi,negative
Bản thân tôi tôi có một chiếc xe máy!,neutral
Sản phẩm hôm nay thật tuyệt,positive
Bản thân tôi tôi ghét công việc này,negative
Tôi rất bực mình!!,negative
Cả nhóm cuộc sống thật mệt mỏi.,negative
Hàng hóa toi met moi!!,negative
Hàng hóa toi vui.,positive
Hàng hóa tôi ghét công việc này.,negative
Bản thân tôi hôm nay thật tuyệt,positive
Buổi tối hôm qua mình cảm thấy hạnh phúc!,positive
Bản thân tôi rất kém,negative
Cả nhóm hài lòng,positive
Sản phẩm mình khuyên nên thử,positive
Đơn hàng toi met moi,negative
Món hàng tạm ổn!,neutral
Chuyến đi khá ổn,neutral
Giao dịch giao hàng chậm!,negative
Trải nghiệm này that la mot ngay kinh khung!,negative
Thời tiết tôi rất vui.,positive
Ngày hôm nay dịch vụ tận tình!,positive
Dịch vụ tôi đang ở nhà!!,neutral
Cuộc gặp gỡ mình cảm thấy thất vọng.,negative
Hàng hóa toi binh thuong!,neutral
Thời tiết tạm được,neutral
Công việc mình cảm thấy hạnh phúc.,positive
Cuộc sống mọi thứ đều đi sai hướng!,negative
Buổi tối hôm qua tôi không cảm thấy gì nhiều!,neutral
Tụi mình mình đang rất mệt mỏi,negative
Đơn hàng bình thường.,neutral
Cuộc gặp gỡ tôi không muốn nói chuyện nữa.,negative
Cuộc gặp gỡ chấp nhận được!!,neutral
Dịch vụ cực kỳ ổn!,positive
Món hàng rất đáng mua!!,positive
Buổi tối hôm qua toi chi dang quan sat.,neutral
Trải nghiệm này giao hàng chậm.,negative
Thời tiết tôi yêu công việc này,positive
Cả nhóm tôi rất buồn,negative
Cuộc sống thời tiết hôm nay bình thường.,neutral
Bản thân tôi toi vui!!,positive
Dịch vụ vượt mong đợi,positive
Thời tiết đúng như mong đợi!,neutral
Tụi mình toi thich!,positive
Cuộc gặp gỡ hỏng!,negative
Ngày hôm nay bình thường.,neutral
Chuyến đi toi phan no!,negative
Giao dịch bình thường!!,neutral
Buổi tối hôm qua tôi giận dữ!,negative
Buổi tối hôm qua sẽ ủng hộ lần sau.,positive
Buổi tối hôm qua máy tính của tôi màu đen,neutral
Tụi mình không tệ.,neutral
Hàng hóa toi khong cam thay gi nhieu.,neutral
Buổi sáng nay thật là một ngày ý nghĩa,positive
Tụi mình toi buon.,negative
Mình toi hanh phucrất tốt.,positive
Chuyến đi tôi rất buồn!!,negative
Mình toi met moi!!,negative
Trải nghiệm này toi hanh phucrất tốt!,positive
Thời tiết tôi không cảm thấy gì nhiều,neutral
Buổi sáng nay tôi đang ở nhà!!,neutral
Món hàng tôi cực kỳ phấn khích.,positive
Tụi mình chưa ấn tượng,neutral
Sản phẩm tôi chỉ đang quan sát!,neutral
Dịch vụ tôi thấy bực mình!,negative
Cuộc gặp gỡ ngày hôm nay cũng như mọi ngày!,neutral
Giao dịch mình đang rất mệt mỏi!,negative
Món hàng that la mot ngay kinh khung!,negative
Thời tiết tôi rất vui!,positive
Dịch vụ mình cảm thấy thất vọng!,negative
Tôi tôi yêu công việc này,positive
Cuộc gặp gỡ toi ghet!!,negative
Công việc đáng đồng tiền,positive
Bản thân tôi mọi thứ đều ổn định và vui vẻ!!,positive
Trải nghiệm này cuộc sống thật đẹp!!,positive
Cuộc sống sản phẩm lỗi.,negative
Chuyến đi bình thường,neutral
Giao dịch tôi chán nản,negative
Ngày hôm nay mình đang rất mệt mỏi!,negative
Thời tiết trung bình!,neutral
Tôi đáng giá!,positive
Thời tiết bình thường.,neutral
Hàng hóa tôi giận dữ.,negative
Tụi mình toi met moi.,negative
Ngày hôm nay tôi thấy rất tốt!!,positive
Cuộc sống toi buon,negative
Cả nhóm rất tệ!,negative
Tụi mình that la mot ngay kinh khung.,negative
Dịch vụ thời tiết hôm nay bình thường!!,neutral
Chuyến đi không vui cũng không buồn.,neutral
Buổi sáng nay tạm được,neutral
Tụi mình toi met moi!,negative
Hàng hóa rất thích.,positive
Bản thân tôi dịch vụ tệ!,negative
Giao dịch tạm được!,neutral
Tôi tôi yêu công việc này!,positive
Tôi toi chi dang quan sat,neutral
Giao dịch toi hanh phucrất tốt!,positive
Ngày hôm nay cuộc sống thật đẹp,positive
Trải nghiệm này không vui cũng không buồn!,neutral
Hàng hóa không vui cũng không buồn!,neutral
Ngày hôm nay đáng giá!,positive
Hàng hóa ngon lành!,positive
Công việc hôm nay thật tuyệt.,positive
Hàng hóa cực kỳ ổn,positive
Buổi tối hôm qua không vui cũng không buồn!!,neutral
Sản phẩm tiền mất tật mang,negative
Buổi tối hôm qua tạm hài lòng!!,neutral
Buổi tối hôm qua mình thấy vô vọng.,negative
Đơn hàng tôi thấy bực mình,negative
Trải nghiệm này được thôi!!,neutral
Buổi sáng nay tôi không cảm thấy gì nhiều!!,neutral
Hàng hóa toi hanh phucrất tốt,positive
Ngày hôm nay được thôi!,neutral
Công việc mình cảm thấy hạnh phúc.,positive
Công việc tôi có một chiếc xe máy!,neutral
Cuộc gặp gỡ mình cảm thấy hạnh phúc.,positive
Cuộc gặp gỡ tuyệt vời!,positive
Cuộc gặp gỡ không có gì đặc biệt.,neutral
Món hàng vượt mong đợi!!,positive
Sản phẩm hoàn toàn thất vọng,negative
Bản thân tôi tôi chỉ đang quan sát,neutral
Cả nhóm toi khong cam thay gi nhieu!,neutral
Trải nghiệm này không vui cũng không buồn!,neutral
Chuyến đi ngày hôm nay cũng như mọi ngày!!,neutral
Bản thân tôi tôi chỉ đang quan sát,neutral
Công việc trung bình!,neutral
Dịch vụ tạm hài lòng!,neutral
Trải nghiệm này vừa đủ dùng.,neutral
Cuộc gặp gỡ đáng đồng tiền!,positive
Sản phẩm thời tiết hôm nay bình thường!!,neutral
Buổi tối hôm qua tôi có một chiếc xe máy.,neutral
Chuyến đi đẹp và bền.,positive
Món hàng mình cảm thấy thất vọng!!,negative
Ngày hôm nay ổn!,neutral
Buổi sáng nay tôi có một chiếc xe máy!,neutral
Chuyến đi rất đáng mua,positive
Cuộc sống mình cảm thấy hạnh phúc!,positive
Cuộc gặp gỡ đáng giá.,positive
Ngày hôm nay không đúng mô tả.,negative
Sản phẩm tôi không muốn nói chuyện nữa,negative
Hàng hóa tạm ổn!,neutral
Món hàng that la mot ngay kinh khung!,negative
Đơn hàng cuộc sống thật đẹp!,positive
Cuộc gặp gỡ tuyệt vời,positive
Thời tiết mình đang rất hứng khởi,positive
Thời tiết toi phan no.,negative
Cuộc sống toi met moi!!,negative
Cả nhóm vừa đủ dùng!,neutral
Đơn hàng ổn!!,neutral
Cả nhóm mình đang rất hứng khởi!!,positive
Buổi sáng nay dịch vụ tận tình!,positive
Mình hỏng,negative
Trải nghiệm này rất thích.,positive
Công việc được thôi!!,neutral
Bản thân tôi chấp nhận được!,neutral
Buổi sáng nay cũng được,neutral
Buổi sáng nay sản phẩm lỗi.,negative
Dịch vụ mình cảm thấy thất vọng.,negative
Thời tiết toi vui!,positive
Đơn hàng toi binh thuong,neutral
Cuộc gặp gỡ toi met moi!,negative
Cuộc sống chưa ấn tượng.,neutral
Trải nghiệm này đây là một cái bàn,neutral
Ngày hôm nay dịch vụ tệ,negative
Cuộc sống rất thích!,positive
Sản phẩm toi vui!!,positive
Buổi tối hôm qua tôi ghét công việc này!!,negative
Thời tiết tôi rất buồn.,negative
Tụi mình hôm nay thật tệ!!,negative
Công việc cuộc sống thật khó khăn.,negative
Tôi tôi rất vui,positive
Cuộc sống được thôi!!,neutral
Cả nhóm chấp nhận được,neutral
Đơn hàng tạm hài lòng!,neutral
Tụi mình tôi rất vui.,positive
Món hàng đóng gói cẩu thả!,negative
Buổi sáng nay toi ghet.,negative
Đơn hàng toi phan no!!,negative
Sản phẩm hôm nay thật tuyệt!,positive
Hàng hóa đáng giá,positive
Ngày hôm nay máy tính của tôi màu đen,neutral
Tụi mình tuyệt vời.,positive
Cuộc sống cũng được,neutral
Trải nghiệm này vừa đủ dùng.,neutral
Sản phẩm tôi thấy bình thường!!,neutral
Giao dịch thất vọng.,negative
Hàng hóa cuộc sống thật đẹp!,positive
Bản thân tôi ngon lành.,positive
Hàng hóa tôi yêu công việc này!!,positive
Trải nghiệm này mọi thứ đều ổn định và vui vẻ!,positive
Ngày hôm nay cực kỳ ổn!,positive
Giao dịch đây là một cái bàn!!,neutral
Buổi tối hôm qua đáng đồng tiền!,positive
Sản phẩm rất thích!,positive
Buổi tối hôm qua tôi thấy bình thường.,neutral
Cuộc gặp gỡ toi chi dang quan sat!,neutral
Bản thân tôi toi khong cam thay gi nhieu,neutral
Ngày hôm nay đẹp và bền,positive
Trải nghiệm này ngày hôm nay cũng như mọi ngày!,neutral
Giao dịch dịch vụ tận tình.,positive
Tôi tôi chán nản!,negative
Ngày hôm nay tuyệt vời!,positive
Giao dịch tôi thấy rất tốt!!,positive
Giao dịch tạm ổn.,neutral
Thời tiết tôi thấy bực mình!,negative
Hàng hóa cũng được!!,neutral
Hàng hóa toi vui!,positive
Sản phẩm hôm nay thật tệ!,negative
Hàng hóa hỏng!,negative
Thời tiết ổn,neutral
Hàng hóa đúng như mong đợi,neutral
Công việc rất tệ!,negative
Buổi tối hôm qua rất thích!,positive
Cuộc sống thật là một ngày ý nghĩa!!,positive
Cuộc sống hài lòng!,positive
Cuộc sống xuất sắc,positive
Cả nhóm tôi thấy bình thường!,neutral
Công việc phải trả lại.,negative
Công việc mình cảm thấy hạnh phúc,positive
Cuộc sống tạm hài lòng!,neutral
Cả nhóm hôm nay thật tuyệt,positive
Dịch vụ sẽ ủng hộ lần sau,positive
Cuộc sống tạm hài lòng,neutral
Món hàng mình cảm thấy thất vọng.,negative
Cuộc sống đáng đồng tiền.,positive
Công việc thời tiết hôm nay bình thường.,neutral
Món hàng tôi chán nản!!,negative
Cả nhóm cuộc sống thật đẹp,positive
Buổi sáng nay dịch vụ tận tình.,positive
Hàng hóa vượt mong đợi!!,positive
Cuộc gặp gỡ tôi có một chiếc xe máy!!,neutral
Cả nhóm mình cảm thấy thất vọng,negative
Thời tiết tôi yêu công việc này!!,positive
Bản thân tôi sẽ ủng hộ lần sau.,positive
Buổi tối hôm qua tôi thấy bực mình!,negative
Tụi mình đẹp và bền!!,positive
Cuộc sống tạm hài lòng!!,neutral
Ngày hôm nay cũng được,neutral
Sản phẩm tôi rất buồn!!,negative
Bản thân tôi hài lòng!,positive
Mình mình cảm thấy thất vọng!,negative
Cuộc gặp gỡ toi met moi!,negative
Buổi sáng nay sản phẩm lỗi,negative
Cả nhóm không có gì đặc biệt.,neutral
Sản phẩm toi khong cam thay gi nhieu,neutral
Cuộc gặp gỡ trung bình!,neutral
Giao dịch đẹp và bền,positive
Tụi mình tôi đang nghe nhạc.,neutral
Tụi mình xuất sắc.,positive
Bản thân tôi tôi đang ở nhà!,neutral
Dịch vụ tạm được,neutral
Ngày hôm nay tôi chán nản!!,negative
Bản thân tôi rất đáng mua.,positive
Công việc mình đang rất hứng khởi!,positive
Dịch vụ tôi đang nghe nhạc,neutral
Dịch vụ mình đang rất hứng khởi!!,positive
Dịch vụ hoàn toàn thất vọng!,negative
Thời tiết hôm nay thật tệ,negative
Hàng hóa đẹp và bền.,positive
Chuyến đi mình thấy vô vọng.,negative
Mình tôi cực kỳ phấn khích!!,positive
Món hàng hài lòng!,positive
Tôi tạm được.,neutral
Sản phẩm không đáng mua!,negative
Cuộc sống vượt mong đợi!!,positive
Thời tiết toi binh thuong!,neutral
Ngày hôm nay tạm hài lòng,neutral
Cả nhóm mình đang rất hứng khởi!,positive
Đơn hàng thời tiết hôm nay bình thường,neutral
Chuyến đi vừa đủ dùng,neutral
Buổi tối hôm qua trung bình,neutral
Buổi sáng nay mọi thứ đều ổn định và vui vẻ.,positive
Tụi mình mình thấy vô vọng.,negative
Cuộc sống không hài lòng,negative
Món hàng phải trả lại.,negative
Chuyến đi chưa ấn tượng.,neutral
Chuyến đi mình đang rất hứng khởi,positive
Buổi tối hôm qua chưa ấn tượng!,neutral
Buổi tối hôm qua tôi ghét công việc này!,negative
Cuộc gặp gỡ tôi rất vui!!,positive
Buổi sáng nay tạm được!!,neutral
Tôi chấp nhận được!,neutral
Công việc tôi rất buồn!!,negative
Dịch vụ toi ghet,negative
Dịch vụ mọi thứ đều ổn định và vui vẻ,positive
Giao dịch chưa ấn tượng!!,neutral
Cuộc gặp gỡ bình thường!!,neutral
Cuộc gặp gỡ mình cảm thấy thất vọng,negative
Công việc xuất sắc!,positive
Dịch vụ hôm nay thật tệ.,negative
Bản thân tôi tạm được,neutral
Trải nghiệm này toi chi dang quan sat.,neutral
Cuộc gặp gỡ that la mot ngay kinh khung!!,negative
Buổi sáng nay máy tính của tôi màu đen,neutral
Ngày hôm nay đây là một cái bàn,neutral
Giao dịch toi khong cam thay gi nhieu,neutral
Giao dịch cuộc sống thật mệt mỏi!!,negative
Trải nghiệm này that la mot ngay kinh khung.,negative
Ngày hôm nay toi met moi,negative
Cuộc gặp gỡ phải trả lại.,negative
Thời tiết mọi thứ đều đi sai hướng!,negative
Sản phẩm được thôi.,neutral
Đơn hàng cuộc sống thật đẹp.,positive
Đơn hàng tiền mất tật mang.,negative
Hàng hóa toi khong cam thay gi nhieu!!,neutral
Tôi mình đang rất mệt mỏi!!,negative
Tôi đúng như mong đợi!,neutral
Giao dịch tuyệt vời,positive
Giao dịch toi met moi!!,negative
Tôi tôi đang nghe nhạc!,neutral
Tôi toi that vong!,negative
Tôi mọi thứ đều ổn định và vui vẻ!,positive
Chuyến đi đẹp và bền.,positive
Công việc cuộc sống thật khó khăn!!,negative
Cuộc sống toi chi dang quan sat.,neutral
Ngày hôm nay mình cảm thấy hạnh phúc,positive
Buổi tối hôm qua rất thích.,positive
Buổi tối hôm qua bình thường!!,neutral
Buổi tối hôm qua tôi đang nghe nhạc!,neutral
Bản thân tôi toi vui.,positive
Trải nghiệm này tôi yêu công việc này!!,positive
Buổi tối hôm qua mình khuyên nên thử!,positive
Đơn hàng được thôi.,neutral
Bản thân tôi sản phẩm lỗi,negative
Hàng hóa rất kém.,negative
Cuộc gặp gỡ ngon lành!!,positive
Tôi chấp nhận được,neutral
Cả nhóm trung bình.,neutral
Đơn hàng xuất sắc!!,positive
Giao dịch toi binh thuong,neutral
Món hàng cuộc sống thật đẹp,positive
Món hàng toi chi dang quan sat.,neutral
Đơn hàng rất đáng mua!,positive
Công việc toi that vong.,negative
Cả nhóm không có gì đặc biệt,neutral
Buổi tối hôm qua hôm nay thật tệ!!,negative
Công việc tôi rất vui.,positive
Món hàng tôi không muốn nói chuyện nữa,negative
Mình được thôi,neutral
Hàng hóa phải trả lại.,negative
Giao dịch mình đang rất hứng khởi,positive
Chuyến đi bình thường!!,neutral
Cuộc gặp gỡ thật là một ngày ý nghĩa!,positive
Sản phẩm toi vui!!,positive
Buổi sáng nay không đúng mô tả!,negative
Món hàng hoàn toàn thất vọng!!,negative
Thời tiết không đúng mô tả!,negative
Bản thân tôi không đúng mô tả,negative
Đơn hàng ngon lành,positive
Hàng hóa toi chi dang quan sat!!,neutral
Tôi tôi giận dữ,negative
Tôi tôi thấy bực mình!,negative
Cuộc sống bình thường!!,neutral
Cuộc sống mọi thứ đều ổn định và vui vẻ!,positive
Cả nhóm tôi rất buồn!!,negative
Trải nghiệm này hôm nay thật tệ.,negative
Buổi sáng nay toi hanh phucrất tốt!,positive
Công việc tôi giận dữ!,negative
Chuyến đi hôm nay thật tệ.,negative
Món hàng tạm ổn!!,neutral
Mình đáng đồng tiền,positive
Dịch vụ tạm hài lòng.,neutral
Chuyến đi bình thường!!,neutral
Sản phẩm đúng như mong đợi!!,neutral
Cuộc sống mình đang rất hứng khởi!!,positive
Giao dịch toi buon,negative
Món hàng tôi thấy bình thường,neutral
Công việc không hài lòng,negative
Món hàng tôi đang ở nhà!,neutral
Đơn hàng tôi yêu công việc này.,positive
Hàng hóa tuyệt vời!!,positive
Ngày hôm nay tôi đang nghe nhạc!!,neutral
Công việc cuộc sống thật đẹp!!,positive
Chuyến đi trung bình!,neutral
Dịch vụ phải trả lại,negative
Dịch vụ mọi thứ đều ổn định và vui vẻ,positive
Cuộc sống được thôi.,neutral
Buổi tối hôm qua tôi không cảm thấy gì nhiều!!,neutral
Hàng hóa hoàn toàn thất vọng!,negative
Tôi tôi yêu công việc này!!,positive
Công việc rất tệ.,negative
Trải nghiệm này toi hanh phucrất tốt.,positive
Cả nhóm mình thấy vô vọng!,negative
Ngày hôm nay tôi không cảm thấy gì nhiều.,neutral
Mình mình thấy vô vọng,negative
Công việc cuộc sống thật đẹp!,positive
Thời tiết tạm hài lòng!,neutral
Trải nghiệm này toi binh thuong!,neutral
Cả nhóm tôi không cảm thấy gì nhiều!,neutral
Bản thân tôi tôi không muốn nói chuyện nữa!,negative
Dịch vụ đóng gói cẩu thả!!,negative
Chuyến đi sẽ ủng hộ lần sau,positive
Thời tiết đáng đồng tiền!,positive
Mình rất kém!,negative
Buổi tối hôm qua rất kém!!,negative
Cả nhóm rất kém!!,negative
Bản thân tôi cực kỳ ổn,positive
Sản phẩm tôi yêu công việc này!,positive
Cuộc sống mọi thứ đều đi sai hướng!,negative
Tôi không tệ.,neutral
Cuộc gặp gỡ hôm nay thật tệ!!,negative
Dịch vụ chưa ấn tượng!!,neutral
Hàng hóa máy tính của tôi màu đen.,neutral
Ngày hôm nay không đáng mua,negative
Thời tiết tôi rất vui,positive
Bản thân tôi phải trả lại!!,negative
Hàng hóa mình đang rất hứng khởi,positive
Món hàng hôm nay thật tệ!!,negative
Buổi tối hôm qua mình thấy vô vọng.,negative
Thời tiết rất đáng mua.,positive
Cuộc gặp gỡ sẽ ủng hộ lần sau!!,positive
Dịch vụ không tệ.,neutral
Thời tiết tôi rất buồn!,negative
Tôi bình thường!!,neutral
Tôi mình đang rất hứng khởi,positive
Trải nghiệm này không đúng mô tả!,negative
Ngày hôm nay cuộc sống thật đẹp!!,positive
Giao dịch mình đang rất hứng khởi!,positive
Món hàng vượt mong đợi!,positive
Cuộc gặp gỡ đẹp và bền.,positive
Mình mình thấy vô vọng!!,negative
Món hàng tạm hài lòng!,neutral
Ngày hôm nay đóng gói cẩu thả,negative
Chuyến đi rất tệ!,negative
Sản phẩm không đáng mua!!,negative
Buổi tối hôm qua cũng được!!,neutral
Mình mình cảm thấy thất vọng!,negative
Cuộc sống toi thich,positive
Dịch vụ tôi thấy bực mình,negative
Món hàng toi thich!!,positive
Tôi tôi rất buồn,negative
Dịch vụ sẽ ủng hộ lần sau,positive
Tụi mình trung bình!!,neutral
Sản phẩm mình khuyên nên thử!!,positive
Cuộc gặp gỡ đẹp và bền,positive
Buổi tối hôm qua vượt mong đợi.,positive
Tụi mình tôi yêu công việc này.,positive
Cả nhóm chưa ấn tượng!,neutral
Chuyến đi máy tính của tôi màu đen!!,neutral
Hàng hóa tôi cực kỳ phấn khích!!,positive
Cuộc sống đáng đồng tiền!!,positive
